Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
15000.0,100.0,1.77829099,3.352378,0.103204,1.57408701,6.1674645,2.22418506,2.91256044,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.86329091,6.46241453,0.299561813,2.2372027972027975,0.028181818181818183,3.930261702797203,139.46089913151366
15000.0,1000.0,1.77693248,3.352378,0.103204,1.57544552,6.17489866,2.22686605,2.91607119,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.87072507,6.46984869,0.299561813,2.2372027972027975,0.028181818181818183,3.9376958627972027,139.72469190570718
15000.0,10000.0,1.77469765,3.352378,0.103204,1.57768035,6.18714068,2.23128092,2.92185244,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.88296709,6.48209071,0.299561813,2.2372027972027975,0.028181818181818183,3.9499378827972023,140.1590861637717
15000.0,100000.0,1.77070583,3.352378,0.103204,1.58167217,6.20904554,2.23918051,2.93219692,3.352378,-1.33226763e-15,-1.29090697e-14,positive_Av,5.90487195,6.50399558,0.299561813,2.2372027972027975,0.028181818181818183,3.9718427427972025,140.93635538957815
15000.0,1000000.0,1.76390403,3.352378,0.103204,1.58847397,6.24648405,2.25268204,2.94987711,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,5.94231046,6.54143408,0.299561813,2.2372027972027975,0.028181818181818183,4.009281252797203,142.2648186476427
15000.0,10000000.0,1.74928308,3.352378,0.103204,1.60309492,6.3274519,2.28188163,2.98811385,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.0232783,6.62240193,0.299561813,2.2372027972027975,0.028181818181818183,4.090249102797202,145.13787138957812
15000.0,100000000.0,1.69590643,3.352378,0.103204,1.65647157,6.62889724,2.39059247,3.1304702,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.32472364,6.92384727,0.299561813,2.2372027972027975,0.028181818181818183,4.391694442797203,155.83431893796526
15000.0,1000000000.0,1.66750188,3.352378,0.103204,1.68487612,6.79320358,2.44984659,3.20806322,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.48902999,7.08815362,0.299561813,2.2372027972027975,0.028181818181818183,4.556000782797202,161.66454390570718
15000.0,10000000000.0,1.61889834,3.352378,0.103204,1.73347966,7.08095318,2.55361831,3.34395182,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.77677959,7.37590321,0.299561813,2.2372027972027975,0.028181818181818183,4.843750382797202,171.8750135831265
15000.0,100000000000.0,1.50387597,3.352378,0.103204,1.84850203,7.79787845,2.8121645,3.68251691,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,7.49370486,8.09282849,0.299561813,2.2372027972027975,0.028181818181818183,5.560675652797203,197.3142973573201
