species,wavelength_source,rest_wavelength_vacuum_nm,predicted_wavelength_at_M51_nm,observed_feature_nm,wavelength_difference_nm,absolute_wavelength_difference_nm,required_velocity_kms,reference_velocity_kms,velocity_offset_kms,instrument_fwhm_nm,distance_in_fwhm,relative_intensity,Aki_s-1,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,accuracy,line_reference,ranking
He I,Ritz vacuum,1284.994121142284,1287.4556026896946,1284.2613044,3.1942982896946432,3.1942982896946432,-171.01679527539943,573.72,-744.7367952753995,1.4015729612572303,2.2790809882842726,nan,303520.0,nan,nan,1s.3p,3P*,0,1s.5s,3S,1,AAA,,distant
Si II,Ritz vacuum,1285.0234020944051,1287.4849397311957,1284.2613044,3.2236353311957373,3.2236353311957373,-177.8480371310023,573.72,-751.5680371310023,1.4015729612572303,2.3000125004581222,nan,1620000.0,118522.86,126304.82,3s2.6d,2D,3/2,3s2.9f,2F*,5/2,D,,distant
Si II,Ritz vacuum,1285.0344050825968,1287.495963796256,1284.2613044,3.23465939625612,3.23465939625612,-180.41499238658966,573.72,-754.1349923865897,1.4015729612572303,2.3078779954163684,nan,116000.0,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,5/2,E,,distant
Si II,Ritz vacuum,1285.0344050825968,1287.495963796256,1284.2613044,3.23465939625612,3.23465939625612,-180.41499238658966,573.72,-754.1349923865897,1.4015729612572303,2.3078779954163684,nan,1740000.0,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,7/2,D,,distant
Ar II,Ritz vacuum,1285.0572012735875,1287.5188036546865,1284.2613044,3.257499254686536,3.257499254686536,-185.73318693239247,573.72,-759.4531869323926,1.4015729612572303,2.32417387088041,48.0,nan,182951.2609,190733.0156,3s2.3p4.(3P).5s,4P,1/2,3s2.3p4.(3P).5p,4D*,1/2,,L9974,distant
Fe II,Ritz vacuum,1278.4212191061663,1280.8701098745153,1284.2613044,-3.391194525484707,3.391194525484707,1366.3841826243122,573.72,792.6641826243122,1.4015729612572303,2.4195633186607415,1.7,nan,104064.664,111886.812,3d6.(3H).4d,4I,13/2,3d6.(3F2).5p,4G*,11/2,,L18349c139,distant
C I,Ritz vacuum,1278.3946018777242,1280.8434416592122,1284.2613044,-3.4178627407877684,3.4178627407877684,1372.6259132590963,573.72,798.9059132590962,1.4015729612572303,2.4385906658201355,nan,6000.0,80782.44916,88604.76,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,D,,distant
C I,Ritz vacuum,1285.3144811457216,1287.7765763614939,1284.2613044,3.5152719614939087,3.5152719614939087,-245.74826245222107,573.72,-819.4682624522211,1.4015729612572303,2.508090594399496,nan,5000.0,81311.0544,89091.25,2s2.2p.4p,3P,0,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,D,,distant
Ni II,Ritz vacuum,1278.2655668356856,1280.7141594429884,1284.2613044,-3.5471449570115965,3.5471449570115965,1402.8864101158747,573.72,829.1664101158747,1.4015729612572303,2.530831469401178,nan,2.1e-05,1506.94,9330.04,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,4F,7/2,E,,distant
Fe II,Ritz vacuum,1278.0325135454818,1280.4806597255488,1284.2613044,-3.780644674451196,3.780644674451196,1457.548289416587,573.72,883.828289416587,1.4015729612572303,2.6974298013425613,2.7,nan,103771.342,111595.869,3d6.(3H).4d,4G,9/2,3d6.(3H).5p,4H*,11/2,,L18349c139,distant
